1030.TVF.2004.Loc5.D0.Rep3	1030.TVF.2010.Loc5.D10.Rep5	1030.TVF.2010.Loc1.D0.Rep4	1030.TVF.2004.Loc4.D0.Rep4	1030.TVF.2004.Loc4.D0.Rep3	1030.TVF.2010.Loc1.D0.Rep3	1030.TVF.2010.Loc5.D10.Rep2	1030.TVF.2004.Loc5.D0.Rep4	1030.TVF.2004.Loc2.D10.Rep1	1030.TVF.2010.Loc2.D0.Rep3	1030.TVF.2010.Loc1.D10.Rep3	1030.TVF.Control.Loc4.D10.Rep5	1030.TVF.2010.Loc3.D0.Rep4	1030.TVF.2004.Loc4.D10.Rep4	1030.TVF.2004.Loc4.D10.Rep3	1030.TVF.2010.Loc3.D0.Rep3	1030.TVF.Control.Loc4.D10.Rep2	1030.TVF.2010.Loc1.D10.Rep4	1030.TVF.2010.Loc2.D0.Rep4	1030.TVF.2010.Loc5.D0.Rep3	1030.TVF.2004.Loc1.D0.Rep4	1030.TVF.Control.Loc3.D10.Rep1	1030.TVF.2004.Loc1.D10.Rep4	1030.TVF.Control.Loc1.D10.Rep5	1030.TVF.2010.Loc4.D10.Rep3	1030.TVF.2010.Loc4.D0.Rep4	1030.TVF.2010.Loc4.D0.Rep3	1030.TVF.2010.Loc4.D10.Rep4	1030.TVF.Control.Loc1.D10.Rep2	1030.TVF.2004.Loc1.D10.Rep3	1030.TVF.2004.Loc1.D0.Rep3	1030.TVF.2010.Loc5.D0.Rep4	1030.TVF.2004.Loc2.D0.Rep3	1030.TVF.2010.Loc2.D10.Rep1	1030.TVF.2004.Loc5.D10.Rep2	1030.TVF.2004.Loc3.D0.Rep4	1030.TVF.Control.Loc5.D10.Rep3	1030.TVF.Control.Loc5.D10.Rep4	1030.TVF.2004.Loc3.D0.Rep3	1030.TVF.2004.Loc5.D10.Rep5	1030.TVF.2004.Loc2.D0.Rep4	1030.TVF.2010.Loc2.D0.Rep5	1030.TVF.2010.Loc1.D10.Rep5	1030.TVF.Control.Loc4.D10.Rep3	1030.TVF.2010.Loc3.D10.Rep1	1030.TVF.Control.Loc4.D0.Rep1	1030.TVF.2004.Loc4.D10.Rep2	1030.TVF.2010.Loc3.D0.Rep2	1030.TVF.2010.Loc3.D0.Rep5	1030.TVF.2004.Loc4.D10.Rep5	1030.TVF.Control.Loc4.D10.Rep4	1030.TVF.2010.Loc1.D10.Rep2	1030.TVF.2010.Loc2.D0.Rep2	1030.TVF.Control.Loc5.D0.Rep1	1030.TVF.2004.Loc5.D0.Rep5	1030.TVF.2010.Loc5.D10.Rep3	1030.TVF.2010.Loc1.D0.Rep2	1030.TVF.2004.Loc4.D0.Rep2	1030.TVF.Control.Loc2.D10.Rep1	1030.TVF.2004.Loc4.D0.Rep5	1030.TVF.2010.Loc1.D0.Rep5	1030.TVF.2010.Loc5.D10.Rep4	1030.TVF.2004.Loc5.D0.Rep2	1030.TVF.2004.Loc2.D0.Rep5	1030.TVF.2004.Loc5.D10.Rep4	1030.TVF.2004.Loc3.D0.Rep2	1030.TVF.Control.Loc5.D10.Rep5	1030.TVF.Control.Loc5.D10.Rep2	1030.TVF.2004.Loc3.D0.Rep5	1030.TVF.2004.Loc5.D10.Rep3	1030.TVF.2004.Loc2.D0.Rep2	1030.TVF.2010.Loc5.D0.Rep5	1030.TVF.2004.Loc1.D10.Rep2	1030.TVF.2004.Loc1.D0.Rep2	1030.TVF.Control.Loc1.D10.Rep3	1030.TVF.2010.Loc4.D0.Rep2	1030.TVF.2010.Loc4.D10.Rep5	1030.TVF.Control.Loc3.D0.Rep1	1030.TVF.2010.Loc4.D10.Rep2	1030.TVF.2010.Loc4.D0.Rep5	1030.TVF.Control.Loc1.D10.Rep4	1030.TVF.2004.Loc3.D10.Rep1	1030.TVF.2004.Loc1.D10.Rep5	1030.TVF.Control.Loc2.D0.Rep1	1030.TVF.2010.Loc5.D0.Rep2	1030.TVF.2010.Loc2.D10.Rep4	1030.TVF.Control.Loc1.D0.Rep2	1030.TVF.2004.Loc3.D0.Rep1	1030.TVF.Control.Loc5.D10.Rep1	1030.TVF.Control.Loc1.D0.Rep5	1030.TVF.2004.Loc2.D0.Rep1	1030.TVF.2010.Loc2.D10.Rep3	1030.TVF.Control.Loc2.D0.Rep5	1030.TVF.2004.Loc1.D10.Rep1	1030.TVF.Control.Loc3.D10.Rep4	1030.TVF.2004.Loc1.D0.Rep1	1030.TVF.2010.Loc4.D0.Rep1	1030.TVF.Control.Loc3.D0.Rep2	1030.TVF.2004.Loc3.D10.Rep5	1030.TVF.2004.Loc3.D10.Rep2	1030.TVF.Control.Loc3.D0.Rep5	1030.TVF.2010.Loc4.D10.Rep1	1030.TVF.Control.Loc3.D10.Rep3	1030.TVF.Control.Loc2.D0.Rep2	1030.TVF.2010.Loc5.D0.Rep1	1030.TVF.Control.Loc5.D0.Rep5	1030.TVF.Control.Loc4.D0.Rep2	1030.TVF.2004.Loc4.D10.Rep1	1030.TVF.2010.Loc3.D0.Rep1	1030.TVF.2010.Loc3.D10.Rep2	1030.TVF.2010.Loc3.D10.Rep5	1030.TVF.Control.Loc4.D0.Rep5	1030.TVF.2010.Loc1.D10.Rep1	1030.TVF.2010.Loc2.D0.Rep1	1030.TVF.Control.Loc5.D0.Rep2	1030.TVF.2004.Loc2.D10.Rep3	1030.TVF.2010.Loc1.D0.Rep1	1030.TVF.2004.Loc4.D0.Rep1	1030.TVF.Control.Loc2.D10.Rep2	1030.TVF.Control.Loc2.D10.Rep5	1030.TVF.2004.Loc2.D10.Rep4	1030.TVF.2004.Loc5.D0.Rep1	1030.TVF.Control.Loc2.D0.Rep3	1030.TVF.Control.Loc3.D10.Rep2	1030.TVF.Control.Loc3.D0.Rep4	1030.TVF.2004.Loc3.D10.Rep3	1030.TVF.2004.Loc3.D10.Rep4	1030.TVF.Control.Loc1.D10.Rep1	1030.TVF.Control.Loc3.D0.Rep3	1030.TVF.Control.Loc3.D10.Rep5	1030.TVF.Control.Loc2.D0.Rep4	1030.TVF.2004.Loc5.D10.Rep1	1030.TVF.2010.Loc2.D10.Rep2	1030.TVF.Control.Loc1.D0.Rep4	1030.TVF.Control.Loc1.D0.Rep3	1030.TVF.2010.Loc2.D10.Rep5	1030.TVF.2004.Loc2.D10.Rep5	1030.TVF.Control.Loc2.D10.Rep4	1030.TVF.Control.Loc2.D10.Rep3	1030.TVF.2004.Loc2.D10.Rep2	1030.TVF.2010.Loc5.D10.Rep1	1030.TVF.Control.Loc5.D0.Rep3	1030.TVF.Control.Loc4.D0.Rep4	1030.TVF.2010.Loc3.D10.Rep4	1030.TVF.2010.Loc3.D10.Rep3	1030.TVF.Control.Loc4.D0.Rep3	1030.TVF.Control.Loc4.D10.Rep1	1030.TVF.Control.Loc5.D0.Rep4
2373	7257	14545	12226	12408	8436	6679	212	5985	5566	2358	11097	5058	4455	2838	2082	24175	4568	16770	1822	4321	21219	4869	10280	5785	2585	980	5072	16005	6060	6814	3245	2151	6926	5203	3325	9783	9282	3479	8274	7179	6629	3926	10263	2552	7120	1954	7498	156	5677	15429	5584	8691	14365	114	8007	11005	11188	16614	3134	4902	5563	943	1972	3552	974	34833	11085	2055	6673	2476	3055	4960	5210	21345	656	3573	13154	1411	1386	16909	3140	5212	21452	10554	2401	19557	7	12337	10477	2234	2277	11070	11021	10441	6322	336	13709	4030	3708	18207	2252	8509	8827	3	13829	10328	12615	5107	8555	1327	4687	1297	6469	18175	1538	10960	18820	22190	12328	4019	3228	6676	3396	11857	6768	2578	29571	15168	12809	11707	6909	4729	15	19107	4531	2296	32784	21925	2002	6247	29872	25674	2084	3351	14110	19552	8493
1810	280	13	89	88	10	466	5523	347	0	1224	0	17	1399	1400	33	5	1983	4	2	5	263	4	5502	107	589	54	574	1018	6	9	63	172	129	3325	616	25	149	581	639	29	0	2347	22	1028	2	809	3	100	1094	13	72	0	5	965	57	0	276	2	1574	98	707	2380	96	6272	505	0	13	1166	1317	431	5	21	0	871	10	2437	337	17	67	222	1479	917	0	0	165	5	769	1877	0	138	471	3	23	3	6	71	25	1294	1917	0	456	143	5	4	2	0	443	95	902	833	0	3485	2	0	1955	0	47	10	105	1025	1701	0	3272	0	1369	451	103	0	0	0	42	31	0	7	0	2850	121	2	1652	103	0	5	693	1647	2	2	0
1659	1137	4175	1966	3012	1389	1155	178	1102	1204	938	2023	2026	819	1138	879	2328	2411	2207	1923	1026	2207	1257	2025	1612	1357	2432	1044	2487	1239	2814	1651	1203	1308	1756	1421	2953	2661	1205	741	3309	950	1329	2725	780	2358	623	2158	2212	965	2580	1172	993	4389	173	596	1697	2074	1702	1434	1139	1317	355	1282	670	1315	3969	1514	1476	495	1665	709	1086	2084	2752	610	1515	1953	1120	774	2111	2092	1943	1223	1245	1054	2470	135	2980	3036	944	966	1918	3357	2479	2085	586	3698	977	1382	2741	954	2470	2991	87	2603	4126	3079	925	875	936	3448	915	784	855	1034	2301	2466	3650	2002	1480	2233	3008	2309	5312	1368	629	1051	4238	1890	2202	1292	1348	4	4776	1029	587	2950	2572	1179	744	3232	5203	1172	1328	4803	4083	1604
1436	40	6	64	39	41	5	5556	4	2	5	0	752	4	84	255	0	44	206	1207	29	0	0	0	22	841	1114	0	0	2	52	104	382	8	214	159	0	0	9	123	198	54	4	0	2	0	0	271	1335	0	0	4	7	0	3282	7	12	266	0	282	1097	22	1864	436	294	1994	0	0	131	49	1532	987	0	0	0	3259	105	0	92	1153	0	7	0	0	11	0	0	1916	0	0	16	6	0	0	0	3	699	0	3	15	0	10	5	0	2081	0	0	0	52	7	28	2	6	9	0	6	11	20	0	0	0	1193	0	0	0	0	0	0	0	0	0	45	0	0	0	0	2	0	0	2	12	0	0	8	2	0	0	2
1430	94	70	139	272	28	73	607	37	30	206	78	204	63	244	87	95	577	0	176	92	156	149	204	221	208	112	138	113	154	241	100	703	27	648	390	120	205	255	757	213	0	247	134	136	322	26	18	340	40	168	51	0	308	463	26	44	241	52	1019	110	171	663	806	682	724	67	73	543	270	1287	68	112	158	102	84	187	211	19	97	81	531	293	14	0	16	73	316	427	13	224	40	194	471	27	386	83	272	176	215	148	136	129	434	118	273	524	104	45	137	363	300	448	8	20	237	41	146	184	137	87	1549	538	678	431	81	57	75	210	44	208	110	34	0	340	8	119	161	139	165	77	93	269	419	280	354	129	70
1025	750	0	632	382	18	755	957	288	0	1201	0	0	812	990	0	66	1159	0	0	4	11	0	322	238	359	0	1352	5	9	20	7	641	86	4307	105	0	39	375	5415	347	0	1615	18	875	19	509	0	0	1425	11	41	0	0	1284	74	0	505	0	628	134	726	1859	771	2625	353	0	0	261	2529	905	0	403	11	0	0	1157	0	31	433	12	1641	1366	0	0	33	0	345	230	0	816	122	30	188	0	212	35	0	1353	1768	0	534	0	170	0	1	79	320	80	635	1037	78	778	0	0	1381	0	21	0	8	897	1541	69	361	0	1521	810	14	0	0	0	921	49	0	0	2	1674	62	0	1594	281	0	0	434	971	13	0	0
1012	76	9	102	20	144	19	49	27	0	38	0	149	13	209	120	0	61	130	615	1235	0	0	0	22	398	594	0	0	0	399	169	153	20	6263	250	0	0	185	2939	141	138	12	0	2	0	0	185	190	3	0	17	19	0	176	41	53	130	0	374	5589	48	415	243	20	179	0	0	322	140	200	1281	0	1281	0	7182	133	0	236	4286	0	0	0	0	16	1	0	64	0	0	24	6	0	0	0	53	1510	0	0	0	0	1	1	0	4482	0	0	0	84	3	11	0	5	19	0	7	41	70	0	0	0	1461	0	0	0	0	0	0	0	0	0	530	0	0	0	6	0	0	0	0	107	0	0	2	0	0	0	0
990	0	0	20	30	0	0	718	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	67	0	5	46	0	0	0	7	151	0	0	0	0	0	0	0	0	0	0	0	0	0	607	0	0	377	0	1783	0	0	502	126	195	238	0	0	129	65	517	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	123	0	0	92	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1515	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
943	1763	774	667	1090	1198	920	439	1040	1735	622	794	2175	366	560	985	948	1371	644	524	838	1115	765	1569	1518	739	1212	625	1532	853	1296	1823	743	1723	2111	342	1228	1458	560	2059	1626	409	786	786	306	1074	277	1572	2164	386	584	1179	216	1458	281	937	785	817	453	752	410	1183	509	703	1547	521	1004	1071	421	1358	840	1201	857	1267	1629	443	1150	2020	442	537	1766	2288	875	970	807	1113	850	152	1160	111	539	1542	2020	1717	559	1203	438	2468	624	675	1478	504	275	886	242	1560	1457	732	1063	1148	680	898	551	1229	578	426	696	757	1610	1769	650	793	1292	890	1754	740	326	1038	1517	817	1426	751	904	0	1266	882	528	1194	2006	407	980	582	2078	921	668	1628	1436	1008
943	1132	155	500	347	835	2501	245	933	1506	930	937	2245	978	1002	185	1147	1909	377	1182	65	432	158	2052	2218	337	214	1376	399	42	127	924	606	5112	749	997	567	2703	1033	2572	1556	79	578	2230	1178	2375	1338	170	2110	1009	424	1131	0	1173	137	1021	121	754	364	1168	431	1308	454	702	3213	421	51	1738	1513	2314	392	255	372	62	360	358	1962	2201	338	204	1293	1263	536	240	20	1871	10	20	1702	0	1470	1987	928	118	109	705	327	1429	1040	979	185	664	678	1711	904	2060	1816	399	583	985	519	1579	307	882	222	637	351	240	808	2122	566	868	2561	1295	1948	957	1028	388	1572	36	815	2769	1082	0	10	563	616	1156	1206	527	1073	72	2722	1090	923	2526	131	1727
