FEzW4zC11	FEzW0zC7	FEzW4zF8	FEzW4zF5	FEzW2zC6	FEzW0zF11	FEzW2zF4	FEzW2zC8	FEzW4zC1	FEzW4zC6	FEzW2zF2	FEzW0zF7	FEzW2zC10	FEzW0zF5	FEzW6zC4	FEzW0zF6	FEzW4zF1	FEzW6zC3	FEzW6zF8	FEzW0zC9	FEzW4zC10	FEzW0zF1	FEzW2zF7	FEzW4zC2	FEzW4zF3	FEzW6zF5	FEzW2zF8	FEzW6zF2	FEzW6zC6	FEzW2zF6	FEzW0zF2	FEzW2zC2	FEzW6zF9	FEzW4zC3	FEzW0zF3	FEzW4zF9	FEzW6zF6	FEzW2zC9	FEzW6zC2	FEzW0zF9	FEzW2zC4	FEzW0zC2	FEzW4zC9	FEzW6zC10	FEzW0zC1	FEzW4zF4	FEzW6zF3	FEzW2zC3	FEzW4zF7	FEzW0zC6	FEzW6zF11	FEzW0zF4	FEzW2zF11	FEzW4zC4	FEzW0zC10	FEzW6zC7	FEzW6zF7	FEzW6zC5	FEzW6zF1	FEzW2zC5	FEzW0zC4	FEzW0zC5	FEzW6zC9	FEzW6zC1	FEzW2zF1	FEzW2zC11	FEzW2zF9	FEzW2zF5	FEzW2zF3	FEzW2zC1	FEzW2zC7	FEzW4zF2	FEzW4zC7	FEzW6zF4	FEzW4zC5	FEzW0zC8	FEzW4zC8	FEzW4zF6	FEzW0zC11	FEzW6zC11	FEzW6zC8
911	584	0	0	0	5	0	2	0	0	0	0	0	0	0	35	0	0	0	0	0	61	1166	0	0	0	0	0	0	0	0	0	0	6	1	0	1350	15	0	0	0	0	0	44	0	0	0	0	101	3	0	0	91	0	0	297	579	0	0	0	0	0	0	0	0	33	0	256	0	0	402	45	778	0	0	0	602	0	0	485	1442
430	80	0	0	0	14	2	0	0	0	0	7	0	0	36	0	0	0	0	178	3	0	400	0	0	0	0	68	0	0	0	0	0	0	0	0	89	4	0	0	0	0	38	28	0	0	0	0	1891	0	0	89	2	541	4	0	37	0	0	0	0	0	601	0	0	20	0	0	0	0	2	0	0	0	0	34	177	0	2	162	1107
296	436	266	284	132	141	176	91	354	192	408	59	139	241	96	48	162	39	234	313	66	176	74	287	195	335	413	272	115	169	158	202	57	8	281	250	278	68	219	201	153	69	193	142	318	143	382	79	261	34	140	186	54	75	198	198	146	20	138	76	473	41	110	427	182	182	77	184	349	284	146	283	289	137	375	330	217	283	127	8	433
269	856	613	223	438	82	1219	773	794	377	364	190	398	70	749	658	211	806	417	51	145	269	82	182	1061	1057	734	403	570	428	71	33	1352	1031	1270	960	511	444	149	592	484	57	613	272	54	1217	316	676	1008	265	39	921	414	692	917	474	480	1259	12	945	87	541	549	1083	54	314	659	126	1898	1028	908	44	1516	1271	1498	1054	22	360	128	437	1715
189	627	452	363	227	158	623	112	866	515	1335	45	200	904	112	91	675	662	705	638	295	840	546	271	190	604	689	1061	355	643	696	521	173	149	230	0	479	124	304	369	679	104	3	43	982	120	984	86	1063	83	868	286	194	89	78	254	343	371	553	225	195	28	173	535	1738	285	119	824	259	692	16	506	332	401	710	646	397	622	261	688	1396
188	315	34	64	78	34	47	18	76	101	61	19	42	118	22	30	75	67	46	193	46	64	139	55	38	96	82	91	35	45	36	78	76	147	47	71	92	10	56	61	71	11	84	27	76	27	80	25	238	7	82	72	11	38	80	50	83	42	51	27	75	28	84	50	111	26	17	72	100	56	106	31	193	37	93	121	132	49	43	263	348
163	33	17	4	0	0	72	44	16	0	47	26	86	0	0	83	0	0	24	3	8	46	0	0	0	0	4	0	0	6	16	0	46	0	0	0	0	0	0	8	0	0	82	28	3	58	0	0	0	0	108	44	0	0	131	147	0	92	0	31	0	182	79	0	206	0	0	0	0	0	58	0	189	15	0	427	0	0	0	137	0
155	6	114	207	121	200	116	109	246	38	136	204	6	61	265	38	399	11	538	26	66	121	0	98	2	0	433	0	614	272	146	164	429	16	194	181	216	187	98	76	247	533	16	96	392	236	7	30	11	577	193	161	321	69	47	100	0	222	435	45	344	0	3	340	844	454	45	386	0	255	23	0	59	223	284	21	35	21	78	31	69
150	179	45	91	15	31	77	26	23	54	94	27	59	101	39	25	51	29	51	75	62	49	37	17	46	112	80	69	54	69	26	40	96	77	53	136	141	22	11	61	32	33	70	46	33	47	66	57	102	8	99	65	12	45	62	94	55	47	44	19	36	21	65	41	112	38	34	112	65	31	23	28	154	57	112	64	72	63	16	70	249
125	329	41	112	208	15	164	29	71	144	67	27	40	170	18	13	30	8	37	66	15	49	86	7	160	63	38	7	47	51	19	8	7	92	21	57	152	20	5	88	15	6	90	35	28	39	130	20	224	6	117	88	4	11	43	59	37	12	45	10	48	29	88	118	69	33	47	135	225	46	161	3	135	51	9	119	121	54	50	99	136
102	64	4	0	0	5	13	5	18	4	15	0	25	2	12	0	0	122	14	36	26	0	37	6	118	28	0	220	7	14	3	5	3	44	15	18	66	7	6	18	3	0	33	14	0	3	100	0	110	2	26	11	4	71	4	31	74	3	0	5	9	0	29	19	22	23	2	0	272	0	45	55	93	10	12	31	23	23	3	42	224
86	7	43	0	0	0	25	7	2	22	2	7	2	0	0	6	0	0	56	37	0	4	16	77	10	0	7	0	29	34	24	12	0	10	0	4	30	80	4	0	0	35	36	13	18	3	29	21	8	7	8	15	7	0	16	0	36	5	1	15	9	5	0	5	0	10	8	3	4	5	56	34	74	7	9	2	28	24	7	0	111
86	156	24	38	46	22	28	9	36	50	46	12	26	61	25	18	32	48	24	106	28	28	83	32	15	58	37	45	19	24	18	32	37	88	27	36	45	11	36	33	57	17	48	10	28	15	35	16	131	10	56	40	5	24	33	29	58	27	37	14	47	15	41	37	63	18	10	36	37	32	67	23	124	12	80	77	92	24	26	123	204
