Ob2016s005	Ob2016s007	Ob2016s090	Ob2016s026	Ob2016s027	Ob2016s009	Ob2016s057	Ob2016s014	Ob2016s004	Ob2016s024	Ob2016s016	Ob2016s018	Ob2016s003	Ob2016s010	Ob2016s020	Ob2016s035	Ob2016s011	Ob2016s006	Ob2016s013	Ob2016s068	Ob2016s023	Ob2016s079	Ob2016s001	Ob2016s008	Ob2016s019	Ob2016s017	Ob2016s002	Ob2016s012	Ob2016s046	Ob2016s022
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
2	0	0	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	3	0	0	0
0	0	0	0	0	0	0	0	0	2	0	0	3	0	3	2	0	0	0	0	0	0	0	0	24	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	2	0	0	0	0	0	0	2	8	0	0	0	2	2	0	0	3	0	0	0	0	0	0	0
3	4	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	4	105	26	0	35	136	0	0	0	203	0	0	0
0	0	3	0	0	0	0	1	1	0	6	0	3	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	8	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0	0	0	4	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
7	3	0	0	0	4	0	0	7	0	0	0	0	2	0	0	0	0	0	3	3	1	0	8	2	0	3	0	0	9
0	0	2	2	0	0	3	5	11	4	0	3	10	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0
0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	2	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	2	0	15	0	0
