199A	132A	026A	102A	184A	165A	074A	031A	150A	003A	151A	012A	127A	008A	030A	009A	131A	027A	139A	041A	156A	025A	142A	106A
0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	4	2	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0
0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	2	0	0	1	0	0	0	0	0	0	0	2	0	2	0	6	0	6	0	0	0
0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	4	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	4	4	0	0	0
5	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	13	0	4
0	0	0	8	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0
0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	2	0	0	0	0	0
0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0
1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0
0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	6	0	0	0	0	0	4	0	0	0	0	2	0	0	0	4	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	2	0	0	0	6	0	0	0	4	0	0	2	12	0	0	1	0	4	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	2	0	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	2	0	0	0	0	1	0	0
0	0	0	0	0	0	0	8	6	0	0	0	4	0	0	0	0	0	2	2	0	0	0	2
0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0
0	0	0	0	0	0	0	2	12	0	0	2	0	4	0	0	4	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	30	0	0	0	0	0	0	0	0
10	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	2	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0
0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	0	0	0	0	4	2	0	0	6	0	0	2	0	2	0	2	0	2	0	0	0
0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	4	0	0	1	0	0	0	0	4	0	0	2	0	0	0	0	3	0	0	0	0
0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
1	0	0	0	1	0	0	2	4	0	0	6	0	4	2	4	0	0	6	2	2	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0
