Ro2020s021	Ro2020s035	Ro2020s001	Ro2020s003	Ro2020s022	Ro2020s028	Ro2020s012	Ro2020s002	Ro2020s008	Ro2020s026	Ro2020s024	Ro2020s037	Ro2020s016	Ro2020s004	Ro2020s019	Ro2020s029	Ro2020s031	Ro2020s027	Ro2020s009	Ro2020s039	Ro2020s010	Ro2020s030	Ro2020s013	Ro2020s020	Ro2020s007	Ro2020s017	Ro2020s014	Ro2020s023	Ro2020s015	Ro2020s033	Ro2020s025	Ro2020s038	Ro2020s011	Ro2020s018	Ro2020s006	Ro2020s005	Ro2020s036	Ro2020s032	Ro2020s034
0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	1	10	2	4	1	5	0	4	4	1	0	11	0	0	0	7	0	0	0	0	0	0
0	0	2	0	0	0	0	0	0	3	0	0	2	2	0	2	0	5	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
16	0	3	0	0	2	0	0	0	0	0	0	3	0	0	10	0	10	0	0	0	0	0	14	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	1	3	2	7	2	4	32	2	0	0	0	0	0	9	23	0	23	9	7	21	7	2	21	4	11	0	27	28	0	12	13	0	0	0	0	31	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
3	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0
501	0	0	2	154	488	27	0	22	371	499	0	160	0	164	674	0	165	65	0	49	0	74	639	21	37	24	113	53	0	433	2	34	170	31	75	2	0	2
1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	3	0	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	6	0	4	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	10	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
30	0	0	0	36	30	4	0	0	15	17	0	34	0	25	24	2	30	4	2	3	0	4	36	0	0	0	14	0	0	5	0	2	24	18	22	0	0	0
3	0	2	0	0	0	20	0	7	2	0	0	4	0	2	13	0	10	22	0	21	0	19	0	7	11	14	1	15	0	0	0	23	2	0	1	0	0	0
0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	7	0	4	0	3	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	4	0
0	0	0	0	20	25	0	2	2	21	3	0	1	1	0	42	0	0	3	0	3	0	0	0	0	0	0	12	2	0	8	3	6	0	0	0	0	0	0
