M6	M7	A10	A1	C12	A8	C4	M10	C10	C7	A4	A9	M5	A15	M4	C6	C11	C9	M3	A5	A18	M9	A16	C3	A6	A7	M1	A17
6	0	42	17	0	2	2	143	0	1	19	0	1	25	0	8	0	1	26	27	0	0	0	0	30	2	0	102
5	0	16	19	10	0	0	94	89	8	16	40	0	7	0	0	0	0	0	0	58	0	33	5	31	4	1	7
0	122	40	11	5	24	0	43	0	0	4	1	0	0	0	0	0	0	185	35	1	0	0	1	0	2	0	0
0	0	5	0	0	109	0	0	4	0	0	0	0	0	0	55	0	0	35	0	0	246	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	17	0	0	0	0	0	0	5	0	0
0	0	0	0	0	0	0	1	0	1	0	0	1	5	0	0	0	0	2	0	7	1	0	0	5	0	0	1
3	0	0	0	1	0	1	0	6	0	0	0	1	0	0	1	0	3	0	7	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0
0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2	5	5	0	0	7	4	0	1	5	0	8	1	0	1	0	2	6	11	1	0	1	0	3	4	0	1
0	0	23	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	24	0	0	0	0	0	0	16	0	0
0	1	1	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
6	7	7	0	0	5	0	8	0	0	0	4	6	0	1	0	0	0	0	3	12	1	0	0	1	0	10	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	6	0	0	0	0	0	0	0	16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0
2	0	33	0	0	13	1	0	0	2	0	0	2	0	0	4	0	0	0	7	0	0	0	1	6	2	0	0
1	2	7	0	0	1	9	6	0	0	8	0	0	0	0	1	0	0	18	6	1	0	4	0	9	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
