Ke2019s113	Ke2019s052	Ke2019s033	Ke2019s087	Ke2019s155	Ke2019s225	Ke2019s219	Ke2019s020	Ke2019s215	Ke2019s151	Ke2019s036	Ke2019s048	Ke2019s086	Ke2019s279	Ke2019s140	Ke2019s212	Ke2019s016	Ke2019s017	Ke2019s050	Ke2019s091	Ke2019s282	Ke2019s124	Ke2019s127	Ke2019s220	Ke2019s247	Ke2019s213	Ke2019s249	Ke2019s109	Ke2019s049	Ke2019s278	Ke2019s034	Ke2019s110	Ke2019s156	Ke2019s085	Ke2019s216	Ke2019s021	Ke2019s154	Ke2019s299	Ke2019s243	Ke2019s019	Ke2019s047	Ke2019s159	Ke2019s158	Ke2019s277	Ke2019s252	Ke2019s051	Ke2019s018	Ke2019s003	Ke2019s275	Ke2019s014	Ke2019s201	Ke2019s281	Ke2019s284	Ke2019s141	Ke2019s205	Ke2019s297	Ke2019s123	Ke2019s157	Ke2019s112	Ke2019s088	Ke2019s206	Ke2019s214	Ke2019s114	Ke2019s274	Ke2019s111	Ke2019s015	Ke2019s231	Ke2019s092	Ke2019s280	Ke2019s283	Ke2019s009	Ke2019s244
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2	3	0	0	2	0	0	0	2	0	2	0	0	6	0	0	0	7	0	0	0	10	0	13	0	0	7	0	0	0	3	0	0	0	0	3	0	17	0	2	0	0	0	0	0	17	13	0	0	1	0	0	0	12	1	21	0	0	0	19	0	0	0	0	0	1	0	0	0	6	14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	4	119	472	1	195	0	86	5	35	5	175	536	75	7	187	1	0	179	448	91	82	6	901	0	273	845	50	362	246	154	19	166	317	826	0	6	26	0	70	46	136	140	0	19	174	32	0	276	155	11	83	534	158	5	175	103	276	305	345	20	151	587	134	177	272	348	289	34	205	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	3	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	19	3	0	5	0	0	18	6	0	0	0	0	126	1	0	9	1	4	0	0	9	0	0	0	0	97	9	10	3	73	6	0	1	0	21	1	216	6	0	2	7	0	0	13	3	10	0	0	147	0	0	7	138	0	129	13	0	7	236	0	0	0	3	0	3	0	9	14	0	150
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
