SampleID	Groups
CNXA3A	Asia
CNWX1BC	Asia
CNXA1B	Asia
CNXA1A	Asia
CNWX4C	Asia
CNWX4B	Asia
CNXA2C	Asia
CNXA2B	Asia
CNXA2A	Asia
CNXA1C	Asia
CNCQ4C	Asia
CNDL2AC	Asia
SKSN1B	Asia
CNHB6B	Asia
CNHB5B	Asia
CNCS2C	Asia
CNCD2C	Asia
CNCD3A	Asia
CNCD2A	Asia
CNCD2B	Asia
CNCD4A	Asia
CNCD4B	Asia
CNCD3B	Asia
CNCD3C	Asia
CNCD4C	Asia
CNCQ1A	Asia
CNWH3A	Asia
CNWH3B	Asia
CNCQ3A	Asia
CNCQ2C	Asia
CNCQ2B	Asia
CNCQ2A	Asia
CNCQ1C	Asia
CNCQ1B	Asia
CNSZ4AC	Asia
CNSZ4BA	Asia
CNWH1A	Asia
CNWH1B	Asia
CNWH1C	Asia
CNWH2A	Asia
CNWH2B	Asia
CNWH2C	Asia
CNCS3AA	Asia
CNXM3B	Asia
CNJN4B	Asia
CNJN4A	Asia
CNJN3C	Asia
CNJN3B	Asia
CNQD1C	Asia
CNQD1B	Asia
CNQD1A	Asia
CNJN4C	Asia
CNQD2B	Asia
CNQD2A	Asia
SGJR1C	Asia
SGJR1B	Asia
SGJR1A	Asia
SGEA1C	Asia
SGEA1B	Asia
SGEA1A	Asia
JPSD1F	Asia
JPSD1E	Asia
SGKJ1B	Asia
SGKJ1A	Asia
SKNJ1C	Asia
CNSZ1C	Asia
CNSZ2A	Asia
CNSZ1A	Asia
CNSZ1B	Asia
CNSY3B	Asia
CNSY3C	Asia
CNSY2A	Asia
CNSY3A	Asia
CNSH5B	Asia
CNSH5C	Asia
CNXA3B	Asia
CNXM2B	Asia
CNXM2C	Asia
CNXM1A	Asia
CNXM1B	Asia
CNXM1C	Asia
CNXM2A	Asia
CNXA3C	Asia
CNXA4A	Asia
CNXA4B	Asia
CNXA4C	Asia
CNBJ1AA	Asia
CNBJ1AB	Asia
CNBJ1AC	Asia
CNBJ1BA	Asia
CNBJ1BB	Asia
CNBJ1BC	Asia
CNBJ1CA	Asia
CNBJ1CC	Asia
CNBJ2A	Asia
CNHB7A	Asia
TWTN1C	Asia
TWTN2A	Asia
TWTN2B	Asia
TWTN2C	Asia
TWKS2B	Asia
TWKS2C	Asia
TWTN1A	Asia
TWTN1B	Asia
CNBJ5BA	Asia
CNBJ5AC	Asia
CNBJ5BC	Asia
CNBJ5BB	Asia
CNBJ6BB	Asia
CNBJ6BA	Asia
CNCD1A	Asia
CNBJ6BC	Asia
CNCD1C	Asia
CNCD1B	Asia
SKSN1A	Asia
SKSW1A	Asia
SKSN1C	Asia
SKSW1C	Asia
SKSW1B	Asia
TWKS1B	Asia
TWKS1A	Asia
TWKS2A	Asia
TWKS1C	Asia
CNSH5A	Asia
CNSH4C	Asia
CNSH3C	Asia
CNSH3B	Asia
CNSH4B	Asia
CNSH4A	Asia
CNSH2B	Asia
CNSH2A	Asia
CNSH3A	Asia
CNSH2C	Asia
CNHB4C	Asia
CNHB4B	Asia
CNCQ3C	Asia
CNCQ3B	Asia
CNHB4A	Asia
CNHB6A	Asia
CNCQ4B	Asia
CNCQ4A	Asia
CNQD4AA	Asia
CNQD4AB	Asia
CNQD4AC	Asia
CNSH1A	Asia
CNQD2C	Asia
CNQD3AA	Asia
CNQD3AB	Asia
CNQD3AC	Asia
CNSH1B	Asia
CNSH1C	Asia
JPSD1C	Asia
CNHB3A	Asia
CNHB3B	Asia
CNDL2BB	Asia
CNDL2BC	Asia
JPSD1D	Asia
CNDL2BA	Asia
CNDL2AA	Asia
CNDL2AB	Asia
CNDL1BB	Asia
CNDL1BC	Asia
CNWH4A	Asia
CNWH3C	Asia
CNWH4C	Asia
CNWH4B	Asia
CNWX1AB	Asia
CNWX1AA	Asia
CNWX1BA	Asia
CNWX1AC	Asia
CNXM3A	Asia
CNWX1BB	Asia
CNXM3C	Asia
CNXM4A	Asia
CNXM4B	Asia
CNXM4C	Asia
JPSD1A	Asia
JPSD1B	Asia
CNHB5A	Asia
CNHB6C	Asia
CNSZ3BC	Asia
CNSZ3BB	Asia
CNSZ3BA	Asia
CNSZ3AC	Asia
CNSZ3AB	Asia
CNSZ3AA	Asia
CNSZ2C	Asia
CNSZ2B	Asia
CNSZ4AB	Asia
CNSZ4AA	Asia
CNBJ3C	Asia
CNBJ4A	Asia
CNBJ4B	Asia
CNBJ4C	Asia
CNBJ2B	Asia
CNBJ2C	Asia
CNBJ3A	Asia
CNBJ3B	Asia
CNBJ5AA	Asia
CNBJ5AB	Asia
SGWE1B	Asia
SGWE1C	Asia
SGKJ1C	Asia
SGWE1A	Asia
SKGW1C	Asia
SKGW1A	Asia
SKGW1B	Asia
SKNJ1B	Asia
CNCS1A	Asia
CNCS1B	Asia
CNCS1C	Asia
CNCS2A	Asia
CNHB3C	Asia
CNCS2B	Asia
CNCS3AB	Asia
CNCS3AC	Asia
CNDL1BA	Asia
CNDL1AC	Asia
CNCS4C	Asia
CNCS4B	Asia
CNDL1AB	Asia
CNDL1AA	Asia
CNCS3BB	Asia
CNCS3BA	Asia
CNCS4A	Asia
CNCS3BC	Asia
CNWX2C	Asia
CNWX3AA	Asia
CNWX2A	Asia
CNWX2B	Asia
CNWX3BB	Asia
CNWX3AB	Asia
CNWX3AC	Asia
CNJN2C	Asia
CNJN3A	Asia
CNJN1B	Asia
CNJN1C	Asia
CNJN2A	Asia
CNJN2B	Asia
CNWX3BA	Asia
CNHB7B	Asia
CNHB7C	Asia
CNJN1A	Asia
CNWX3BC	Asia
CNWX4A	Asia
CNBJ1CB	Asia
CNHB5C	Asia
SKNJ1A	Asia
USHI3B	North America
USHI3C	North America
USHI4A	North America
USHI4B	North America
USHI4C	North America
USHP1AA	North America
USHP1AA2	North America
USHP1AB	North America
USHP1AB2	North America
USHP1AC	North America
USOP1BC	North America
USOP1CA	North America
USKN2A	North America
USPT3A	North America
USHS2B	North America
USHS2A	North America
USHS3A	North America
USAT05A	North America
USHS1B	North America
USHS1A	North America
USHS1D	North America
USHS1C	North America
USOK03B	North America
USOK03C	North America
USOK03D	North America
USOK03E	North America
USHS3C	North America
USHS3B	North America
USOK02C	North America
USOK03A	North America
USAT02A	North America
USKN1BB	North America
USDC2C	North America
USWR2AB	North America
USVD1AB	North America
USVD1AC	North America
USVA9C	North America
USVD1AA	North America
USVA9A	North America
USVA9B	North America
USVA8B	North America
USVA8C	North America
USFT1B	North America
USVD1BA	North America
USVD1BB	North America
CAON4BA	North America
CAON4BB	North America
CAON2B	North America
CAON2C	North America
CAON1C	North America
CAON2A	North America
CAON4AB	North America
CAON4AC	North America
CAON3C	North America
CAON4AA	North America
USTE1A	North America
USST1BC	North America
USST1AC	North America
USST1AB	North America
USST1BB	North America
USST1BA	North America
USHP1BG	North America
USSF4A	North America
USST1AA	North America
USSF4C	North America
USHP1BE	North America
USPT3C	North America
USAG1B	North America
USAG1A	North America
USOK09B	North America
MXEA3A	North America
MXEA2C	North America
MXEA3C	North America
MXEA3B	North America
MXEA1C	North America
MXEA1B	North America
MXEA2B	North America
MXEA2A	North America
USDA2K	North America
USDA2L	North America
USDC1A	North America
USDC1B	North America
USDA1B	North America
USDA2H	North America
USDA2I	North America
USDA2J	North America
USDC1C	North America
USDC2A	North America
USDC4A	North America
USLA4A	North America
USLA3C	North America
USLA1B	North America
USLA1A	North America
USLA2A	North America
USLA1C	North America
USLA2C	North America
USLA2B	North America
USLA3B	North America
USLA3A	North America
USOP1AB	North America
USOP1AC	North America
USOP1BA	North America
USOP1BB	North America
USCT1A	North America
USOP1CB	North America
USOP1CC	North America
USOP1DA	North America
USOP1DB	North America
USDC4C	North America
USFT4B	North America
USFT4C	North America
USWS1CA	North America
USDC3C	North America
USPT3B	North America
USPT2B	North America
USPT2A	North America
USDC4B	North America
USPT2C	North America
USPT1A	North America
USOP1DC	North America
USPT1C	North America
USPT1B	North America
USFT1A	North America
USHP1AG2	North America
USHP1AH	North America
USBT2B	North America
USHP1AF	North America
USHP1AF2	North America
USHP1AG	North America
USHP1AC2	North America
USHP1AD	North America
USFT2A	North America
USHP1AE	North America
USFT1C	North America
USDC2B	North America
USTP1A	North America
USRE7A	North America
USRE6C	North America
USDA2G	North America
USRE7B	North America
USHP1AE2	North America
USRE8A	North America
USRE9A	North America
USRE8C	North America
USRE9C	North America
USRE9B	North America
USCB1DB	North America
USWS1DC	North America
USOK10A	North America
USHP1AD2	North America
USAT07C	North America
USAT07B	North America
USCG4AA	North America
USCG4AB	North America
USCG4AC	North America
USCG4BA	North America
USOK09C	North America
USTE2C	North America
USTE3A	North America
USTE3B	North America
USTE3C	North America
USTE1B	North America
USTE1C	North America
USTE2A	North America
USTE2B	North America
USTE4A	North America
USTE4B	North America
CAMT10B	North America
CAMT10C	North America
CAMT10A	North America
USTF1DA	North America
USOK03G	North America
USTF1DB	North America
USTP1D	North America
USAG3A	North America
USAG3B	North America
USAG3C	North America
USAG4A	North America
USAG1C	North America
USAG2A	North America
USCG3B	North America
USCG3C	North America
USAT01C	North America
USAK1D	North America
USAK1C	North America
USAK1B	North America
USAK1A	North America
USAK2D	North America
USAK2C	North America
USAK2B	North America
USAK2A	North America
USAK3B	North America
USAK3A	North America
USHP1BG2	North America
USHP1BI	North America
USHP1BF2	North America
USMD1B	North America
USMD1A	North America
USOK06B	North America
USOK06C	North America
USMD2C	North America
USMD2B	North America
USOK07C	North America
USOK08A	North America
USOK07A	North America
USOK07B	North America
USCG4BC	North America
USTF1BB	North America
USHP1BD2	North America
USHP1BJ	North America
USHP1BK	North America
USTP1E	North America
USOK03F	North America
USTP1B	North America
USHI3A	North America
USHI2C	North America
USAT01B	North America
USOK08B	North America
USTP1C	North America
USVA1B	North America
USVA1A	North America
USTU1CB	North America
USTU1CA	North America
USTU1BC	North America
USTU1BB	North America
USHI1A	North America
USTU1DB	North America
USHS2C	North America
USCG3A	North America
USFT5C	North America
USTF1DC	North America
USTE4C	North America
USDA1G	North America
USDA1H	North America
USKP1MA	North America
USSF3B	North America
USSF3C	North America
USSF2C	North America
USSF3A	North America
USSF2A	North America
USSF2B	North America
USSF1B	North America
USSF1C	North America
USSD2BC	North America
USSF1A	North America
USAT01A	North America
MXDN1H	North America
MXEA1A	North America
MXDN1F	North America
MXDN1G	North America
MXDN1D	North America
MXDN1E	North America
MXDN1B	North America
MXDN1C	North America
CAON4BC	North America
MXDN1A	North America
USAK3C	North America
USCG5C	North America
USAK3D	North America
USTU1DA	North America
USAT02B	North America
USTU1CC	North America
USAT02C	North America
USAT03A	North America
USKP2M	North America
USKP2O	North America
USAT03B	North America
USKN3C	North America
USKP1I	North America
USKN3A	North America
USKN3B	North America
USKP2I	North America
USCT1B	North America
USKP1MB	North America
USMD4C	North America
USMD4B	North America
USMI1A	North America
USMD3B	North America
USMD3A	North America
USMD4A	North America
USMD3C	North America
USDC3B	North America
USMI2A	North America
USMI1C	North America
USDC3A	North America
USCB1AC	North America
USCB1AB	North America
USCB1BB	North America
USCB1BA	North America
USBT6B	North America
USBT6A	North America
USCB1AA	North America
USBT6C	North America
USCB1CA	North America
USCB1BC	North America
USRE2C	North America
USRE3A	North America
USRE2A	North America
USRE2B	North America
USRE1B	North America
USRE1C	North America
USPT4C	North America
USRE1A	North America
USPT4A	North America
USPT4B	North America
USTP1J	North America
USDA1A	North America
USCT1D	North America
USOK05C	North America
USCT1H	North America
USWS1AC	North America
USCT1I	North America
USWR1AB	North America
USWR1AA	North America
USVD1DC	North America
USVD1DB	North America
USVD1DA	North America
USDA1E	North America
USVD1CB	North America
USVD1CA	North America
USVD1BC	North America
USWS1BB	North America
USDA1F	North America
USWS1BA	North America
USDA1C	North America
USDA1D	North America
USWS1BC	North America
USWS1CC	North America
USWS1CB	North America
CAMT1C	North America
CAMT1B	North America
CAMT1A	North America
CAMT11C	North America
CAMT3A	North America
CAMT2C	North America
CAMT2B	North America
CAMT2A	North America
CAMT3C	North America
CAMT3B	North America
USRE4A	North America
USRE4B	North America
USRE3B	North America
USRE3C	North America
USRE5B	North America
USRE5C	North America
USRE4C	North America
USRE5A	North America
USRE6A	North America
USRE6B	North America
USOK01C	North America
USTP1I	North America
USOK01B	North America
USTP1H	North America
USTP1L	North America
