SampleID	Groups
1030.TVF.2004.Loc1.D0.Rep1	Fire
1030.TVF.2004.Loc1.D0.Rep2	Fire
1030.TVF.2004.Loc1.D0.Rep3	Fire
1030.TVF.2004.Loc1.D0.Rep4	Fire
1030.TVF.2004.Loc1.D10.Rep1	Fire
1030.TVF.2004.Loc1.D10.Rep2	Fire
1030.TVF.2004.Loc1.D10.Rep3	Fire
1030.TVF.2004.Loc1.D10.Rep4	Fire
1030.TVF.2004.Loc1.D10.Rep5	Fire
1030.TVF.2004.Loc2.D0.Rep1	Fire
1030.TVF.2004.Loc2.D0.Rep2	Fire
1030.TVF.2004.Loc2.D0.Rep3	Fire
1030.TVF.2004.Loc2.D0.Rep4	Fire
1030.TVF.2004.Loc2.D0.Rep5	Fire
1030.TVF.2004.Loc2.D10.Rep1	Fire
1030.TVF.2004.Loc2.D10.Rep2	Fire
1030.TVF.2004.Loc2.D10.Rep3	Fire
1030.TVF.2004.Loc2.D10.Rep4	Fire
1030.TVF.2004.Loc2.D10.Rep5	Fire
1030.TVF.2004.Loc3.D0.Rep1	Fire
1030.TVF.2004.Loc3.D0.Rep2	Fire
1030.TVF.2004.Loc3.D0.Rep3	Fire
1030.TVF.2004.Loc3.D0.Rep4	Fire
1030.TVF.2004.Loc3.D0.Rep5	Fire
1030.TVF.2004.Loc3.D10.Rep1	Fire
1030.TVF.2004.Loc3.D10.Rep2	Fire
1030.TVF.2004.Loc3.D10.Rep3	Fire
1030.TVF.2004.Loc3.D10.Rep4	Fire
1030.TVF.2004.Loc3.D10.Rep5	Fire
1030.TVF.2004.Loc4.D0.Rep1	Fire
1030.TVF.2004.Loc4.D0.Rep2	Fire
1030.TVF.2004.Loc4.D0.Rep3	Fire
1030.TVF.2004.Loc4.D0.Rep4	Fire
1030.TVF.2004.Loc4.D0.Rep5	Fire
1030.TVF.2004.Loc4.D10.Rep1	Fire
1030.TVF.2004.Loc4.D10.Rep2	Fire
1030.TVF.2004.Loc4.D10.Rep3	Fire
1030.TVF.2004.Loc4.D10.Rep4	Fire
1030.TVF.2004.Loc4.D10.Rep5	Fire
1030.TVF.2004.Loc5.D0.Rep1	Fire
1030.TVF.2004.Loc5.D0.Rep2	Fire
1030.TVF.2004.Loc5.D0.Rep3	Fire
1030.TVF.2004.Loc5.D0.Rep4	Fire
1030.TVF.2004.Loc5.D0.Rep5	Fire
1030.TVF.2004.Loc5.D10.Rep1	Fire
1030.TVF.2004.Loc5.D10.Rep2	Fire
1030.TVF.2004.Loc5.D10.Rep3	Fire
1030.TVF.2004.Loc5.D10.Rep4	Fire
1030.TVF.2004.Loc5.D10.Rep5	Fire
1030.TVF.2010.Loc1.D0.Rep1	Fire
1030.TVF.2010.Loc1.D0.Rep2	Fire
1030.TVF.2010.Loc1.D0.Rep3	Fire
1030.TVF.2010.Loc1.D0.Rep4	Fire
1030.TVF.2010.Loc1.D0.Rep5	Fire
1030.TVF.2010.Loc1.D10.Rep1	Fire
1030.TVF.2010.Loc1.D10.Rep2	Fire
1030.TVF.2010.Loc1.D10.Rep3	Fire
1030.TVF.2010.Loc1.D10.Rep4	Fire
1030.TVF.2010.Loc1.D10.Rep5	Fire
1030.TVF.2010.Loc2.D0.Rep1	Fire
1030.TVF.2010.Loc2.D0.Rep2	Fire
1030.TVF.2010.Loc2.D0.Rep3	Fire
1030.TVF.2010.Loc2.D0.Rep4	Fire
1030.TVF.2010.Loc2.D0.Rep5	Fire
1030.TVF.2010.Loc2.D10.Rep1	Fire
1030.TVF.2010.Loc2.D10.Rep2	Fire
1030.TVF.2010.Loc2.D10.Rep3	Fire
1030.TVF.2010.Loc2.D10.Rep4	Fire
1030.TVF.2010.Loc2.D10.Rep5	Fire
1030.TVF.2010.Loc3.D0.Rep1	Fire
