SampleID	Groups
10251.E.B.1.1D	DS
10251.E.B.1.1W	WTP
10251.E.B.1.2D	DS
10251.E.B.1.2W	WTP
10251.E.B.1.3D	DS
10251.E.B.1.3W	WTP
10251.E.B.2.1D	DS
10251.E.B.2.1W	WTP
10251.E.B.2.2D	DS
10251.E.B.2.2W	WTP
10251.E.B.2.3D	DS
10251.E.B.2.3W	WTP
10251.E.B.3.1D	DS
10251.E.B.3.1W	WTP
10251.E.B.3.2D	DS
10251.E.B.3.2W	WTP
10251.E.B.3.3D	DS
10251.E.B.3.3W	WTP
10251.E.CS.1.1D	DS
10251.E.CS.1.1W	WTP
10251.E.CS.1.2D	DS
10251.E.CS.1.2W	WTP
10251.E.CS.1.3D	DS
10251.E.CS.1.3W	WTP
10251.E.CS.2.1D	DS
10251.E.CS.2.1W	WTP
10251.E.CS.2.2D	DS
10251.E.CS.2.2W	WTP
10251.E.CS.2.3D	DS
10251.E.CS.2.3W	WTP
10251.E.CS.3.1D	DS
10251.E.CS.3.1W	WTP
10251.E.CS.3.2D	DS
10251.E.CS.3.2W	WTP
10251.E.CS.3.3D	DS
10251.E.I.1D	DS
10251.E.I.1W	WTP
10251.E.I.2D	DS
10251.E.I.2W	WTP
10251.E.I.3D	DS
10251.E.I.3W	WTP
10251.E.LC.1.1D	DS
10251.E.LC.1.1W	WTP
10251.E.LC.1.2D	DS
10251.E.LC.1.2W	WTP
10251.E.LC.1.3D	DS
10251.E.LC.1.3W	WTP
10251.E.LC.2.1D	DS
10251.E.LC.2.1W	WTP
10251.E.LC.2.2D	DS
10251.E.LC.2.2W	WTP
10251.E.LC.2.3D	DS
10251.E.LC.2.3W	WTP
10251.E.LC.3.1D	DS
10251.E.LC.3.1W	WTP
10251.E.LC.3.2D	DS
10251.E.LC.3.2W	WTP
10251.E.LC.3.3D	DS
10251.E.LC.3.3W	WTP
