SampleID	Groups
SGJR1C	HOT
SGJR1B	HOT
SGJR1A	HOT
SGEA1C	HOT
SGEA1B	HOT
SGEA1A	HOT
SGWE1B	HOT
SGWE1C	HOT
SGWE1A	HOT
SGKJ1B	HOT
SGKJ1A	HOT
SGKJ1C	HOT
AUCR1A	HOT
AUCR1B	HOT
AUCR1C	HOT
AUCR2A	HOT
AUCR2B	HOT
AUCR2C	HOT
CNSY2A	HOT
CNSY3B	HOT
CNSY3C	HOT
CNSY3A	HOT
BRBH1C	HOT
BRBH1B	HOT
BRBH1A	HOT
BRBH2B	HOT
BRBH2A	HOT
BRBH4C	HOT
BRBH4A	HOT
BRBH4B	HOT
BRBH3B	HOT
BRBH3C	HOT
BRBH2C	HOT
BRBH3A	HOT
MXEA3A	HOT
MXEA2C	HOT
MXEA3C	HOT
MXEA3B	HOT
MXEA1C	HOT
MXEA1B	HOT
MXEA2B	HOT
MXEA2A	HOT
MXEA1A	HOT
BRRP2B	HOT
BRRP2A	HOT
BRRP1A	HOT
BRRP1C	HOT
BRRP1B	HOT
BRRP4A	HOT
BRRP4B	HOT
BRRP4C	HOT
BRRP2C	HOT
BRRP3A	HOT
BRRP3B	HOT
BRRP3C	HOT
USHI4A	HOT
USHI4B	HOT
USHI4C	HOT
USHI1A	HOT
USHI1C	HOT
USHI1B	HOT
USHI2C	HOT
USHI2B	HOT
USHI2A	HOT
USHI3B	HOT
USHI3C	HOT
USHI3A	HOT
CNSZ1C	HOT
CNSZ1A	HOT
CNSZ1B	HOT
CNSZ3BC	HOT
CNSZ3BB	HOT
CNSZ3BA	HOT
CNSZ3AC	HOT
CNSZ3AB	HOT
CNSZ3AA	HOT
CNSZ4AC	HOT
CNSZ4BA	HOT
CNSZ4AB	HOT
CNSZ4AA	HOT
CNSZ2A	HOT
CNSZ2C	HOT
CNSZ2B	HOT
TWKS2B	HOT
TWKS2C	HOT
TWKS2A	HOT
TWKS1B	HOT
TWKS1A	HOT
TWKS1C	HOT
TWTN1C	HOT
TWTN1A	HOT
TWTN1B	HOT
TWTN2A	HOT
TWTN2B	HOT
TWTN2C	HOT
CNXM3B	HOT
CNXM3A	HOT
CNXM3C	HOT
CNXM1A	HOT
CNXM1B	HOT
CNXM1C	HOT
CNXM2B	HOT
CNXM2C	HOT
CNXM2A	HOT
CNXM4A	HOT
CNXM4B	HOT
CNXM4C	HOT
SAZK4	HOT
SAZK2	HOT
SAZK1	HOT
SAZK3	HOT
SAZK6	HOT
SAZK5	HOT
MXDN1H	HOT
MXDN1F	HOT
MXDN1G	HOT
MXDN1D	HOT
MXDN1E	HOT
MXDN1B	HOT
MXDN1C	HOT
MXDN1A	HOT
SADP2	HOT
SADP1	HOT
SADP4	HOT
SADP3	HOT
SADP6	HOT
SADP5	HOT
AULP3A	HOT
AULP3B	HOT
AULP2B	HOT
AULP2C	HOT
AULP1C	HOT
AULP2A	HOT
AULP1A	HOT
AULP1B	HOT
AULP3C	HOT
AULP4A	HOT
AULP4C	HOT
AULP4B	HOT
AUBR2A	HOT
AUBR1C	HOT
AUBR1B	HOT
AUBR1A	HOT
AUBR2B	HOT
AUBR2C	HOT
USTP1A	HOT
USTP1D	HOT
USTP1E	HOT
USTP1B	HOT
USTP1C	HOT
USTP1J	HOT
USTP1I	HOT
USTP1H	HOT
USTP1L	HOT
USTP1K	HOT
USTP1M	HOT
USTP1F	HOT
USTP1G	HOT
CNCS4C	HOT
CNCS4B	HOT
CNCS4A	HOT
CNCS2C	HOT
CNCS2A	HOT
CNCS2B	HOT
CNCS3AA	HOT
CNCS3AB	HOT
CNCS3AC	HOT
CNCS3BB	HOT
CNCS3BA	HOT
CNCS3BC	HOT
CNCS1A	HOT
CNCS1B	HOT
CNCS1C	HOT
CNCQ3A	HOT
CNCQ3C	HOT
CNCQ3B	HOT
CNCQ4C	HOT
CNCQ4B	HOT
CNCQ4A	HOT
CNCQ1A	HOT
CNCQ1C	HOT
CNCQ1B	HOT
CNCQ2C	HOT
CNCQ2B	HOT
CNCQ2A	HOT
USHS1B	HOT
USHS1A	HOT
USHS1D	HOT
USHS1C	HOT
USHS2B	HOT
USHS2A	HOT
USHS2C	HOT
SAPN2	HOT
SAPN1	HOT
SAPN5	HOT
SAPN6	HOT
SAPN3	HOT
SAPN4	HOT
USHS3A	HOT
USHS3C	HOT
USHS3B	HOT
USHS4A	HOT
USHS4B	HOT
USHS4C	HOT
COCL1C	HOT
COCL1A	HOT
COCL1B	HOT
COCL2A	HOT
COCL2B	HOT
COCL3D	HOT
COCL3E	HOT
COCL3B	HOT
COCL3C	HOT
COCL3A	HOT
COCL3F	HOT
BROS3B	HOT
BROS2C	HOT
BROS2B	HOT
BROS3A	HOT
BROS2D	HOT
BROS1B	HOT
BROS2A	HOT
BROS1A	HOT
SAKB4	COLD
SAKB3	COLD
SAKB6	COLD
SAKB5	COLD
SAKB2	COLD
SAKB1	COLD
CNCD3A	COLD
CNCD3B	COLD
CNCD3C	COLD
CNWH4A	COLD
CNWH4C	COLD
CNWH4B	COLD
CNCD4A	COLD
CNCD4B	COLD
CNCD4C	COLD
CNWH3A	COLD
CNWH3B	COLD
CNWH3C	COLD
CNCD1A	COLD
CNCD1C	COLD
CNCD1B	COLD
CNWH1A	COLD
CNWH1B	COLD
CNWH1C	COLD
CNCD2C	COLD
CNCD2A	COLD
CNCD2B	COLD
CNWH2A	COLD
CNWH2B	COLD
CNWH2C	COLD
CNSH5B	COLD
CNSH5C	COLD
CNSH5A	COLD
CNSH2B	COLD
CNSH2A	COLD
CNSH2C	COLD
CNSH1A	COLD
CNSH1B	COLD
CNSH1C	COLD
CNSH4C	COLD
CNSH4B	COLD
CNSH4A	COLD
CNSH3C	COLD
CNSH3B	COLD
CNSH3A	COLD
CNWX3AA	COLD
CNWX3BB	COLD
CNWX3AB	COLD
CNWX3AC	COLD
CNWX3BA	COLD
CNWX3BC	COLD
CNWX4C	COLD
CNWX4B	COLD
CNWX4A	COLD
CNWX2C	COLD
CNWX2A	COLD
CNWX2B	COLD
CNWX1BC	COLD
CNWX1AB	COLD
CNWX1AA	COLD
CNWX1BA	COLD
CNWX1AC	COLD
CNWX1BB	COLD
AUWA2C	COLD
AUWA1A	COLD
AUWA2B	COLD
AUWA2A	COLD
AUWA1C	COLD
AUWA1B	COLD
USDA2K	COLD
USDA2L	COLD
USDA2H	COLD
USDA2I	COLD
USDA2J	COLD
USDA2G	COLD
USDA2D	COLD
USDA2C	COLD
USDA2B	COLD
USDA2A	COLD
USDA2F	COLD
USDA2E	COLD
USDA1B	COLD
USDA1G	COLD
USDA1H	COLD
USDA1A	COLD
USDA1E	COLD
USDA1F	COLD
USDA1C	COLD
USDA1D	COLD
USDA1L	COLD
USDA1K	COLD
USDA1J	COLD
USDA1I	COLD
USSD2BC	COLD
USSD2AC	COLD
USSD2AB	COLD
USSD2AA	COLD
USSD2BB	COLD
USSD2BA	COLD
USSD1AA	COLD
USSD1AB	COLD
USSD1CC	COLD
USSD1CB	COLD
USSD1CA	COLD
USSD1BC	COLD
USSD1BB	COLD
USSD1AC	COLD
USSD1BA	COLD
