SampleID	Groups
Ho2017s001	plastic
Ho2017s002	plastic
Ho2017s005	plastic
Ho2017s006	plastic
Ho2017s007	plastic
Ho2017s008	plastic
Ho2017s013	plastic
Ho2017s022	plastic
Ho2017s023	plastic
Ho2017s024	plastic
Ho2017s025	plastic
Ho2017s026	plastic
Ho2017s027	plastic
Ho2017s028	plastic
Ho2017s029	plastic
Ho2017s030	sediment
Ho2017s031	sediment
Ho2017s032	sediment
Ho2017s033	sediment
Ho2017s034	plastic
Ho2017s036	plastic
Ho2017s037	plastic
Ho2017s038	plastic
Ho2017s039	sediment
Ho2017s040	sediment
Ho2017s041	sediment
Ho2017s042	sediment
Ho2017s043	sediment
Ho2017s044	sediment
Ho2017s045	sediment
Ho2017s047	sediment
