SampleID	Groups
Ke2019s003	plastic
Ke2019s009	plastic
Ke2019s014	plastic
Ke2019s015	plastic
Ke2019s016	plastic
Ke2019s017	plastic
Ke2019s018	plastic
Ke2019s019	plastic
Ke2019s020	plastic
Ke2019s021	plastic
Ke2019s033	plastic
Ke2019s034	plastic
Ke2019s036	plastic
Ke2019s047	plastic
Ke2019s048	plastic
Ke2019s049	plastic
Ke2019s050	plastic
Ke2019s051	plastic
Ke2019s052	plastic
Ke2019s085	wood
Ke2019s086	wood
Ke2019s087	wood
Ke2019s088	wood
Ke2019s091	wood
Ke2019s092	wood
Ke2019s109	wood
Ke2019s110	wood
Ke2019s111	wood
Ke2019s112	wood
Ke2019s113	wood
Ke2019s114	wood
Ke2019s123	wood
Ke2019s124	plastic
Ke2019s127	plastic
Ke2019s140	plastic
Ke2019s141	plastic
Ke2019s151	wood
Ke2019s154	plastic
Ke2019s155	plastic
Ke2019s156	plastic
Ke2019s157	plastic
Ke2019s158	plastic
Ke2019s159	plastic
Ke2019s201	plastic
Ke2019s205	plastic
Ke2019s206	plastic
Ke2019s212	wood
Ke2019s213	wood
Ke2019s214	wood
Ke2019s215	wood
Ke2019s216	wood
Ke2019s219	wood
Ke2019s220	wood
Ke2019s225	plastic
Ke2019s231	plastic
Ke2019s243	plastic
Ke2019s244	plastic
Ke2019s247	plastic
Ke2019s249	wood
Ke2019s252	wood
Ke2019s274	plastic
Ke2019s275	plastic
Ke2019s277	plastic
Ke2019s278	plastic
Ke2019s279	plastic
Ke2019s280	plastic
Ke2019s281	plastic
Ke2019s282	plastic
Ke2019s283	plastic
Ke2019s284	plastic
Ke2019s297	plastic
Ke2019s299	wood
