SampleID	Groups
Ob2016s001	plastic
Ob2016s002	plastic
Ob2016s003	plastic
Ob2016s004	plastic
Ob2016s005	plastic
Ob2016s006	plastic
Ob2016s007	plastic
Ob2016s008	plastic
Ob2016s009	plastic
Ob2016s010	plastic
Ob2016s011	glass
Ob2016s012	glass
Ob2016s013	plastic
Ob2016s014	glass
Ob2016s016	glass
Ob2016s017	glass
Ob2016s018	glass
Ob2016s019	glass
Ob2016s020	glass
Ob2016s022	plastic
Ob2016s023	plastic
Ob2016s024	plastic
Ob2016s026	plastic
Ob2016s027	plastic
Ob2016s035	plastic
Ob2016s046	plastic
Ob2016s057	plastic
Ob2016s068	plastic
Ob2016s079	plastic
Ob2016s090	plastic
