SampleID	Groups
Fr2018s001	plastic
Fr2018s002	plastic
Fr2018s003	plastic
Fr2018s004	plastic
Fr2018s005	plastic
Fr2018s006	plastic
Fr2018s007	plastic
Fr2018s008	plastic
Fr2018s009	plastic
Fr2018s010	plastic
Fr2018s011	plastic
Fr2018s013	plastic
Fr2018s014	plastic
Fr2018s015	plastic
Fr2018s016	plastic
Fr2018s017	plastic
Fr2018s018	plastic
Fr2018s019	plastic
Fr2018s020	plastic
Fr2018s021	plastic
Fr2018s022	plastic
Fr2018s023	plastic
Fr2018s024	plastic
Fr2018s025	plastic
Fr2018s026	plastic
Fr2018s027	plastic
Fr2018s034	seawater
Fr2018s035	seawater
Fr2018s036	seawater
Fr2018s037	seawater
Fr2018s038	seawater
Fr2018s039	seawater
Fr2018s043	plastic
Fr2018s044	plastic
Fr2018s045	plastic
Fr2018s046	plastic
Fr2018s047	plastic
Fr2018s048	plastic
Fr2018s049	plastic
Fr2018s050	plastic
Fr2018s051	plastic
Fr2018s052	plastic
Fr2018s053	plastic
Fr2018s054	plastic
Fr2018s055	plastic
Fr2018s056	plastic
Fr2018s057	plastic
Fr2018s058	plastic
Fr2018s059	plastic
Fr2018s060	plastic
Fr2018s061	plastic
Fr2018s065	plastic
Fr2018s068	plastic
Fr2018s070	seawater
Fr2018s071	seawater
Fr2018s072	seawater
Fr2018s076	seawater
Fr2018s077	seawater
Fr2018s078	seawater
