SampleID	Groups
Ro2020s001	plastic
Ro2020s002	plastic
Ro2020s003	plastic
Ro2020s004	plastic
Ro2020s005	plastic
Ro2020s006	plastic
Ro2020s007	sediment
Ro2020s008	sediment
Ro2020s009	sediment
Ro2020s010	sediment
Ro2020s011	sediment
Ro2020s012	sediment
Ro2020s013	sediment
Ro2020s014	sediment
Ro2020s015	sediment
Ro2020s016	plastic
Ro2020s017	sediment
Ro2020s018	plastic
Ro2020s019	plastic
Ro2020s020	plastic
Ro2020s021	plastic
Ro2020s022	plastic
Ro2020s023	plastic
Ro2020s024	plastic
Ro2020s025	plastic
Ro2020s026	plastic
Ro2020s027	plastic
Ro2020s028	plastic
Ro2020s029	plastic
Ro2020s030	plastic
Ro2020s031	plastic
Ro2020s032	plastic
Ro2020s033	plastic
Ro2020s034	plastic
Ro2020s035	plastic
Ro2020s036	plastic
Ro2020s037	plastic
Ro2020s038	sediment
Ro2020s039	sediment
